Hourly compensation (US$),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Australia,8.4399995804,9.7600002289,9.9399995804,9.2700004578,9.8000001907,8.1800003052,8.5500001907,9.5200004578,11.4399995804,12.5,13.0900001526,13.6700000763,13.2299995422,12.6199998856,14.1300001144,15.3599996567,17.0200004578,16.7099990845,15.1099996567,15.9399995804,14.4099998474,13.3299999237,15.3999996185,19.7900009155,23.3799991608,25.1100006104,26.1399993896
Austria,8.8699998856,7.7699999809,7.7600002289,7.7899999619,7.3499999046,7.5700001717,10.720000267,13.6499996185,14.4899997711,14.1499996185,17.7199993134,18.0400009155,20.2399997711,20.1100006104,21.4899997711,25.2600002289,24.75,21.8500003815,22.0200004578,21.6299991608,19.1200008392,19.0699996948,20.6599998474,25.4200000763,28.3899993896,29.3600006104,30.4599990845
Belgium,11.7399997711,10.279999733,8.9300003052,8.529999733,7.9800000191,8.2100000381,11.25,13.9600000381,14.720000267,14.3699998856,17.8500003815,18.3999996185,20.5,20.1499996185,21.9300003052,25.6800003052,25.25,22.2800006866,22.6200008392,22.1399993896,20.1299991608,19.8400001526,21.7700004578,26.5499992371,30.0100002289,30.7900009155,31.8500003815
Brazil,,,,,,,,,,,,,,,,,5.7600002289,5.7699999809,5.4899997711,3.3900001049,3.5,2.9700000286,2.5699999332,2.7400000095,3.1400001049,4.1599998474,4.9099998474
Canada,8.8699998856,9.7899999619,10.6999998093,11.4099998474,11.4099998474,11.1999998093,11.3299999237,12.3000001907,13.7700004578,15.0600004196,16.3299999237,17.6900005341,17.5699996948,16.9699993134,16.2900009155,16.5,17.0400009155,16.8299999237,15.9300003052,16.1000003815,16.4799995422,16.2700004578,16.7999992371,19.6000003815,21.8500003815,23.9799995422,25.7399997711
Czech Rep.,,,,,,,,,,,,,,,,2.5299999714,2.9400000572,2.7899999619,2.9900000095,3.1199998856,3.0099999905,3.1300001144,3.8299999237,4.7199997902,5.4499998093,6.0399999619,6.7699999809
Denmark,10.8299999237,9.3599996567,8.8400001526,8.5799999237,7.9800000191,8.029999733,10.9499998093,14.0900001526,15.0799999237,14.470000267,18.2900009155,18.5499992371,20.4099998474,19.6100006104,20.9300003052,25.0200004578,25.1399993896,23.1499996185,23.6800003052,24.0200004578,21.4300003052,21.6700000763,23.8799991608,29.6299991608,33.6800003052,34.4500007629,35.4500007629
Finland,8.6099996567,8.3299999237,8.2600002289,7.7100000381,7.9200000763,8.3000001907,10.7700004578,13.4499998093,15.6499996185,16.7800006866,20.8400001526,20.7299995422,19.1599998474,15.8100004196,18.1599998474,22.6000003815,22.2099990845,20.0100002289,19.3999996185,19.6599998474,17.8400001526,18.0699996948,19.75,24.3500003815,27.7999992371,28.3799991608,29.8999996185
France,8.8999996185,7.9800000191,7.7399997711,7.6599998474,7.25,7.4699997902,10.2100000381,12.1899995804,12.8400001526,12.5399999619,15.3500003815,15.5200004578,17.3199996948,16.5200004578,17.1000003815,19.2399997711,18.9699993134,17.0699996948,17.2800006866,16.9799995422,15.4300003052,15.529999733,16.8999996185,20.7399997711,23.2900009155,24,24.8999996185
Germany,,,,,,,,,,,,,,23.8899993896,25.3299999237,30.1000003815,29.5799999237,25.9599990845,25.1700000763,24.5699996948,22.6700000763,22.5100002289,24.3299999237,29.9300003052,33.0900001526,33.3400001526,34.2099990845
