Working hours per week,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Argentina,,,,,,,,,,,38.7115384615,,,,,,,38.7884615385,,35,,,,,,,,
Australia,34.5788456843,34.5788456843,34.3769226074,34.1173072228,34.4153841459,34.338461069,34.4826918382,34.6557687613,34.8192302997,34.7096158541,34.525000939,34.136537992,34.3365384615,34.6038466233,34.7442298302,34.6634615385,34.5961538462,34.5230759841,34.3942307692,34.363462008,34.3326932467,33.7423072228,33.4673086313,33.411538931,33.5961538462,33.2980769231,33.1403855544,33.1096144456
Austria,,,,,,,,,,,,,,,,31.661538931,31.9980773926,32.0730778621,31.9903846154,31.4923072228,31.3788452148,31.3519240159,31.3846153846,31.5673076923,31.7365394005,31.8442312387,31.8173076923,31.7613454965
Bangladesh,,,,,,,,,,,,,,,44.25,,,,,,,,,,,,,
Belgium,,,,34,34.4807692308,34.5961538462,34.2115384615,33.9038461538,33.6538461538,33.4807692308,33.7307692308,32.9807692308,32.5576923077,31.6538461538,31.6538461538,32.1923076923,31.6538461538,31.9230769231,32.1538461538,30.4038461538,29.8846153846,30.3269230769,30.3653846154,30.2884615385,29.7884615385,30.0961538462,30.2115384615,30.1153846154
Brazil,,,,,,,,,,,34.5384615385,,,,,,,33.8269230769,,32.4807692308,,,,,,,,
Canada,34.849999061,34.5807682918,34.1807697003,34,34.1076918382,34.2653855544,34.2326918382,34.4346149151,34.4711538462,34.3557692308,34.161538931,33.7634605995,33.7461547852,33.7403846154,33.8826927772,33.8596144456,34.1173072228,33.9865394005,33.974999061,34.0211533767,33.9961547852,33.8846153846,33.5461543157,33.3480764536,33.7019230769,33.4307697003,33.4230769231,33.3903855544
Chile,,,,,,,,,,,38.1538461538,,,,,,,36.6538461538,,36.5769230769,,,,,,,,
Colombia,,,,,,,,,,,,38,,,,37.6923076923,,,,36.75,,,,,,,,
Costa Rica,,,,,,,,,,,35.7884615385,,,,,,,35.8846153846,,35.9615384615,,,,,,,,
Czech Rep.,,,,,,,,,,,,,,39.6865375225,39.2923067533,39.6980778621,39.7269240159,39.7461547852,39.8961557242,40.1461557242,40.2365394005,38.4530780499,38.0788456843,37.9173067533,38.1903850849,38.5019226074,38.400000939,38.1819223257
Denmark,31.8980759841,31.375,31.5711529072,31.4961547852,31.3980759841,31.1269226074,31.1903850849,30.525000939,30.1788470928,29.8461538462,29.5903836764,29.4942298302,29.8903855544,29.9076913687,29.7673081618,29.625,29.4365375225,29.6923076923,29.9846144456,30.1730769231,30.411538931,30.5134605995,30.3615394005,30.3173076923,30.3730773926,30.0711529072,30.2653855544,
Ecuador,,,,,,,,,,,34.0576923077,,,,,37.3653846154,,,36.9807692308,,,,,,,,,
El Salvador,,,,,,,,,,,37.2884615385,,,,,,,35.4038461538,35.5576923077,,,,,,,,,
Fiji,,,,,,,,,,,,,,,37.5384615385,,,,,,,,,,,,,
Finland,35.5634624775,35.6692317082,35.3903855544,35.0519221379,34.8788452148,34.8730773926,34.474999061,34.5826932467,34.7365394005,34.661538931,34.025000939,33.5903836764,33.7096158541,33.7557701698,34.1307701698,34.1538461538,34.1269226074,34.0480769231,33.8615394005,33.9365375225,33.6480759841,33.3442312387,33.2288466233,33.0750004695,33.1480759841,33.0326913687,32.9519230769,32.6538461538
France,35.4230769231,34.7692307692,33.9423076923,33.8076923077,33.5769230769,33.2884615385,33.0769230769,33,33.0384615385,32.6730769231,32.7307692308,32.5769230769,32.5961538462,32.3461538462,32.2115384615,31.75,31.8269230769,31.7115384615,31.4807692308,31.3461538462,30.5961538462,30.3461538462,29.5384615385,29.4423076923,29.9615384615,29.8076923077,30.1557687613,30.0125004695
Germany,,,,,,,,,,,,29.7711533767,30.1192298302,29.8057697003,29.7538452148,29.4923072228,29.1884624775,29.0134605995,28.9096163236,28.6865375225,28.3269230769,28.0461543157,27.7961543157,27.6711543157,27.7230764536,27.5942312387,27.5519221379,27.5576923077
Greece,,,,41.3846153846,40.1153846154,40.6538461538,40.2307692308,39.5192307692,39.3846153846,39.9038461538,39.9038461538,39.9230769231,40.4807692308,40.8653846154,40.2307692308,40.0384615385,39.5769230769,38.9615384615,38.9038461538,39.75,40,40.1153846154,40.1346153846,40.1346153846,39.6153846154,39.4807692308,,
Honduras,,,,,,,,,,,35.7115384615,,,,,,,34.6923076923,,34.9230769231,,,,,,,,
"Hong Kong, China",,,,,,,,,,,,,43.9807692308,,,,,,,,,,,,,,,
Hungary,,,,40.6153846154,39.2115384615,38.6923076923,38.5192307692,39.3653846154,39.25,38.7692307692,37.9807692308,37.3653846154,36.5192307692,36.5192307692,39.0769230769,39.2038456843,39.124615009,39.6057692308,39.4673086313,39.7519249549,39.6384605995,38.8250004695,38.9701913687,38.411538931,38.3940382737,38.3461538462,38.2538452148,38.2000004695
